Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
C8 group,Stylophora,Before,Lizard,Adult,LA066,LA066,3.9,-16.4,5.6,3.3,-16,5.6
C8 group,Stylophora,Before,Lizard,Adult,LA070,LA070,3.7,-15.7,5.5,3,-15.7,5.9
C8 group,Stylophora,Before,Lizard,Adult,LA071,LA071,3.2,-16.4,5.9,2.8,-16.9,5.9
C8 group,Stylophora,Before,Lizard,Adult,LA082,LA082,3.9,-15.7,5.6,3,-14.9,8.2
C8 group,Stylophora,Before,Lizard,Adult,LA083,LA083,5,-16.1,5.2,3.4,-15.1,8.2
C8 group,Stylophora,Before,Lizard,Adult,LA086,LA086,3.3,-15.8,5.7,2.2,-15.1,7.4
C8 group,Stylophora,Before,Lizard,Adult,LA088,LA088,3.7,-15.7,5.4,3.2,-14.9,8.2
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ001,LJ001,3.9,-16.3,5.2,3.2,-15.6,4.5
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ002,LJ002,3.5,-16.6,5.2,2.9,-16.7,5.9
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ003,LJ003,3.9,-14.8,5.5,,,
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ004,LJ004,3.5,-16.1,6,3.2,-16,5.5
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ013,LJ013,3.9,-16.5,5.9,2.5,-16.1,7.6
PacutaC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ017,LJ017,3.3,-15.8,5.5,1.9,-16,5.8
PacutaC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ020,LJ020,3.2,-16.6,5.7,3.7,-16.3,6.7
PacutaC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ025,LJ025,4.6,-17.8,5.8,3.6,-16.4,7
Pver(OPI40)C. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ026,LJ026,3.7,-16.2,6.3,0.2,-16,6.1
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ027,LJ027,3.5,-15.8,6,3,-15.5,6.3
Pver_PbairdiC. pacificum,Pocillopora,Before,Lizard,Juvenile,LJ029,LJ029,3.7,-15.7,5.9,3,-15.3,6.3
